HTTP Verb,Name,Description,Arguments
POST/PATCH/DELETE,/mutations/publishSponsorsTier,Publish an existing sponsorship tier that is currently still a draft to a GitHub Sponsors profile.,"clientMutationId: A unique identifier for the client performing the mutation., sponsorsTier: The tier that was published."
POST/PATCH/DELETE,/mutations/regenerateEnterpriseIdentityProviderRecoveryCodes,Regenerates the identity provider recovery codes for an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., identityProvider: The identity provider for the enterprise."
POST/PATCH/DELETE,/mutations/regenerateVerifiableDomainToken,Regenerates a verifiable domain's verification token.,"clientMutationId: A unique identifier for the client performing the mutation., verificationToken: The verification token that was generated."
POST/PATCH/DELETE,/mutations/rejectDeployments,Reject all pending deployments under one or more environments.,"clientMutationId: A unique identifier for the client performing the mutation., deployments: The affected deployments."
POST/PATCH/DELETE,/mutations/removeAssigneesFromAssignable,Removes assignees from an assignable object.,"assignable: The item that was unassigned., clientMutationId: A unique identifier for the client performing the mutation."
POST/PATCH/DELETE,/mutations/removeEnterpriseAdmin,Removes an administrator from the enterprise.,"admin: The user who was removed as an administrator., clientMutationId: A unique identifier for the client performing the mutation., enterprise: The updated enterprise., message: A message confirming the result of removing an administrator., viewer: The viewer performing the mutation."
POST/PATCH/DELETE,/mutations/removeEnterpriseIdentityProvider,Removes the identity provider from an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., identityProvider: The identity provider that was removed from the enterprise."
POST/PATCH/DELETE,/mutations/removeEnterpriseMember,Removes a user from all organizations within the enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The updated enterprise., user: The user that was removed from the enterprise., viewer: The viewer performing the mutation."
POST/PATCH/DELETE,/mutations/removeEnterpriseOrganization,Removes an organization from the enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The updated enterprise., organization: The organization that was removed from the enterprise., viewer: The viewer performing the mutation."
POST/PATCH/DELETE,/mutations/removeEnterpriseSupportEntitlement,Removes a support entitlement from an enterprise member.,"clientMutationId: A unique identifier for the client performing the mutation., message: A message confirming the result of removing the support entitlement."
POST/PATCH/DELETE,/mutations/removeLabelsFromLabelable,Removes labels from a Labelable object.,"clientMutationId: A unique identifier for the client performing the mutation., labelable: The Labelable the labels were removed from."
POST/PATCH/DELETE,/mutations/removeOutsideCollaborator,Removes outside collaborator from all repositories in an organization.,"clientMutationId: A unique identifier for the client performing the mutation., removedUser: The user that was removed as an outside collaborator."
POST/PATCH/DELETE,/mutations/removeReaction,Removes a reaction from a subject.,"clientMutationId: A unique identifier for the client performing the mutation., reaction: The reaction object., reactionGroups: The reaction groups for the subject., subject: The reactable subject."
POST/PATCH/DELETE,/mutations/removeStar,Removes a star from a Starrable.,"clientMutationId: A unique identifier for the client performing the mutation., starrable: The starrable."
POST/PATCH/DELETE,/mutations/removeUpvote,Remove an upvote to a discussion or discussion comment.,"clientMutationId: A unique identifier for the client performing the mutation., subject: The votable subject."
POST/PATCH/DELETE,/mutations/reopenDiscussion,Reopen a discussion.,"clientMutationId: A unique identifier for the client performing the mutation., discussion: The discussion that was reopened."
POST/PATCH/DELETE,/mutations/reopenIssue,Reopen a issue.,"clientMutationId: A unique identifier for the client performing the mutation., issue: The issue that was opened."
POST/PATCH/DELETE,/mutations/reopenPullRequest,Reopen a pull request.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequest: The pull request that was reopened."
POST/PATCH/DELETE,/mutations/requestReviews,Set review requests on a pull request.,"actor: Identifies the actor who performed the event., clientMutationId: A unique identifier for the client performing the mutation., pullRequest: The pull request that is getting requests., requestedReviewersEdge: The edge from the pull request to the requested reviewers."
POST/PATCH/DELETE,/mutations/rerequestCheckSuite,Rerequests an existing check suite.,"checkSuite: The requested check suite., clientMutationId: A unique identifier for the client performing the mutation."
POST/PATCH/DELETE,/mutations/resolveReviewThread,Marks a review thread as resolved.,"clientMutationId: A unique identifier for the client performing the mutation., thread: The thread to resolve."
POST/PATCH/DELETE,/mutations/retireSponsorsTier,Retire a published payment tier from your GitHub Sponsors profile so it cannot be used to start new sponsorships.,"clientMutationId: A unique identifier for the client performing the mutation., sponsorsTier: The tier that was retired."
POST/PATCH/DELETE,/mutations/revertPullRequest,Create a pull request that reverts the changes from a merged pull request.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequest: The pull request that was reverted., revertPullRequest: The new pull request that reverts the input pull request."
POST/PATCH/DELETE,/mutations/revokeEnterpriseOrganizationsMigratorRole,Revoke the migrator role to a user for all organizations under an enterprise account.,"clientMutationId: A unique identifier for the client performing the mutation., organizations: The organizations that had the migrator role revoked for the given user."
POST/PATCH/DELETE,/mutations/revokeMigratorRole,Revoke the migrator role from a user or a team.,"clientMutationId: A unique identifier for the client performing the mutation., success: Did the operation succeed?."
POST/PATCH/DELETE,/mutations/setEnterpriseIdentityProvider,Creates or updates the identity provider for an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., identityProvider: The identity provider for the enterprise."
POST/PATCH/DELETE,/mutations/setOrganizationInteractionLimit,Set an organization level interaction limit for an organization's public repositories.,"clientMutationId: A unique identifier for the client performing the mutation., organization: The organization that the interaction limit was set for."
POST/PATCH/DELETE,/mutations/setRepositoryInteractionLimit,Sets an interaction limit setting for a repository.,"clientMutationId: A unique identifier for the client performing the mutation., repository: The repository that the interaction limit was set for."
POST/PATCH/DELETE,/mutations/setUserInteractionLimit,Set a user level interaction limit for an user's public repositories.,"clientMutationId: A unique identifier for the client performing the mutation., user: The user that the interaction limit was set for."
POST/PATCH/DELETE,/mutations/startOrganizationMigration,Starts a GitHub Enterprise Importer organization migration.,"clientMutationId: A unique identifier for the client performing the mutation., orgMigration: The new organization migration."
POST/PATCH/DELETE,/mutations/startRepositoryMigration,Starts a GitHub Enterprise Importer (GEI) repository migration.,"clientMutationId: A unique identifier for the client performing the mutation., repositoryMigration: The new repository migration."
POST/PATCH/DELETE,/mutations/submitPullRequestReview,Submits a pending pull request review.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequestReview: The submitted pull request review."
POST/PATCH/DELETE,/mutations/transferEnterpriseOrganization,Transfer an organization from one enterprise to another enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., organization: The organization for which a transfer was initiated."
POST/PATCH/DELETE,/mutations/transferIssue,Transfer an issue to a different repository.,"clientMutationId: A unique identifier for the client performing the mutation., issue: The issue that was transferred."
POST/PATCH/DELETE,/mutations/unarchiveProjectV2Item,Unarchives a ProjectV2Item.,"clientMutationId: A unique identifier for the client performing the mutation., item: The item unarchived from the project."
POST/PATCH/DELETE,/mutations/unarchiveRepository,Unarchives a repository.,"clientMutationId: A unique identifier for the client performing the mutation., repository: The repository that was unarchived."
POST/PATCH/DELETE,/mutations/unfollowOrganization,Unfollow an organization.,"clientMutationId: A unique identifier for the client performing the mutation., organization: The organization that was unfollowed."
POST/PATCH/DELETE,/mutations/unfollowUser,Unfollow a user.,"clientMutationId: A unique identifier for the client performing the mutation., user: The user that was unfollowed."
POST/PATCH/DELETE,/mutations/unlinkProjectV2FromRepository,Unlinks a project from a repository.,"clientMutationId: A unique identifier for the client performing the mutation., repository: The repository the project is no longer linked to."
POST/PATCH/DELETE,/mutations/unlinkProjectV2FromTeam,Unlinks a project to a team.,"clientMutationId: A unique identifier for the client performing the mutation., team: The team the project is unlinked from."
POST/PATCH/DELETE,/mutations/unlinkRepositoryFromProject,Deletes a repository link from a project.,"clientMutationId: A unique identifier for the client performing the mutation., project: The linked Project., repository: The linked Repository."
POST/PATCH/DELETE,/mutations/unlockLockable,Unlock a lockable object.,"actor: Identifies the actor who performed the event., clientMutationId: A unique identifier for the client performing the mutation., unlockedRecord: The item that was unlocked."
POST/PATCH/DELETE,/mutations/unmarkDiscussionCommentAsAnswer,Unmark a discussion comment as the chosen answer for discussions in an answerable category.,"clientMutationId: A unique identifier for the client performing the mutation., discussion: The discussion that includes the comment."
POST/PATCH/DELETE,/mutations/unmarkFileAsViewed,Unmark a pull request file as viewed.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequest: The updated pull request."
POST/PATCH/DELETE,/mutations/unmarkIssueAsDuplicate,Unmark an issue as a duplicate of another issue.,"clientMutationId: A unique identifier for the client performing the mutation., duplicate: The issue or pull request that was marked as a duplicate."
POST/PATCH/DELETE,/mutations/unmarkProjectV2AsTemplate,Unmark a project as a template.,"clientMutationId: A unique identifier for the client performing the mutation., projectV2: The project."
POST/PATCH/DELETE,/mutations/unminimizeComment,"Unminimizes a comment on an Issue, Commit, Pull Request, or Gist.","clientMutationId: A unique identifier for the client performing the mutation., unminimizedComment: The comment that was unminimized."
POST/PATCH/DELETE,/mutations/unpinIssue,Unpin a pinned issue from a repository.,"clientMutationId: A unique identifier for the client performing the mutation., issue: The issue that was unpinned."
POST/PATCH/DELETE,/mutations/unresolveReviewThread,Marks a review thread as unresolved.,"clientMutationId: A unique identifier for the client performing the mutation., thread: The thread to resolve."
POST/PATCH/DELETE,/mutations/unsubscribeFromNotifications,Unsubscribes from notifications.,"clientMutationId: A unique identifier for the client performing the mutation., success: Did the operation succeed?."
POST/PATCH/DELETE,/mutations/updateBranchProtectionRule,Update a branch protection rule.,"branchProtectionRule: The newly created BranchProtectionRule., clientMutationId: A unique identifier for the client performing the mutation."
POST/PATCH/DELETE,/mutations/updateCheckRun,Update a check run.,"checkRun: The updated check run., clientMutationId: A unique identifier for the client performing the mutation."
POST/PATCH/DELETE,/mutations/updateCheckSuitePreferences,Modifies the settings of an existing check suite.,"clientMutationId: A unique identifier for the client performing the mutation., repository: The updated repository."
POST/PATCH/DELETE,/mutations/updateDiscussion,Update a discussion.,"clientMutationId: A unique identifier for the client performing the mutation., discussion: The modified discussion."
POST/PATCH/DELETE,/mutations/updateDiscussionComment,Update the contents of a comment on a Discussion.,"clientMutationId: A unique identifier for the client performing the mutation., comment: The modified discussion comment."
POST/PATCH/DELETE,/mutations/updateEnterpriseAdministratorRole,Updates the role of an enterprise administrator.,"clientMutationId: A unique identifier for the client performing the mutation., message: A message confirming the result of changing the administrator's role."
POST/PATCH/DELETE,/mutations/updateEnterpriseAllowPrivateRepositoryForkingSetting,Sets whether private repository forks are enabled for an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The enterprise with the updated allow private repository forking setting., message: A message confirming the result of updating the allow private repository forking setting."
POST/PATCH/DELETE,/mutations/updateEnterpriseDefaultRepositoryPermissionSetting,Sets the base repository permission for organizations in an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The enterprise with the updated base repository permission setting., message: A message confirming the result of updating the base repository permission setting."
POST/PATCH/DELETE,/mutations/updateEnterpriseMembersCanChangeRepositoryVisibilitySetting,Sets whether organization members with admin permissions on a repository can change repository visibility.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The enterprise with the updated members can change repository visibility setting., message: A message confirming the result of updating the members can change repository visibility setting."
POST/PATCH/DELETE,/mutations/updateEnterpriseMembersCanCreateRepositoriesSetting,Sets the members can create repositories setting for an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The enterprise with the updated members can create repositories setting., message: A message confirming the result of updating the members can create repositories setting."
POST/PATCH/DELETE,/mutations/updateEnterpriseMembersCanDeleteIssuesSetting,Sets the members can delete issues setting for an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The enterprise with the updated members can delete issues setting., message: A message confirming the result of updating the members can delete issues setting."
POST/PATCH/DELETE,/mutations/updateEnterpriseMembersCanDeleteRepositoriesSetting,Sets the members can delete repositories setting for an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The enterprise with the updated members can delete repositories setting., message: A message confirming the result of updating the members can delete repositories setting."
POST/PATCH/DELETE,/mutations/updateEnterpriseMembersCanInviteCollaboratorsSetting,Sets whether members can invite collaborators are enabled for an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The enterprise with the updated members can invite collaborators setting., message: A message confirming the result of updating the members can invite collaborators setting."
POST/PATCH/DELETE,/mutations/updateEnterpriseMembersCanMakePurchasesSetting,Sets whether or not an organization owner can make purchases.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The enterprise with the updated members can make purchases setting., message: A message confirming the result of updating the members can make purchases setting."
POST/PATCH/DELETE,/mutations/updateEnterpriseMembersCanUpdateProtectedBranchesSetting,Sets the members can update protected branches setting for an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The enterprise with the updated members can update protected branches setting., message: A message confirming the result of updating the members can update protected branches setting."
POST/PATCH/DELETE,/mutations/updateEnterpriseMembersCanViewDependencyInsightsSetting,Sets the members can view dependency insights for an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The enterprise with the updated members can view dependency insights setting., message: A message confirming the result of updating the members can view dependency insights setting."
POST/PATCH/DELETE,/mutations/updateEnterpriseOrganizationProjectsSetting,Sets whether organization projects are enabled for an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The enterprise with the updated organization projects setting., message: A message confirming the result of updating the organization projects setting."
POST/PATCH/DELETE,/mutations/updateEnterpriseOwnerOrganizationRole,Updates the role of an enterprise owner with an organization.,"clientMutationId: A unique identifier for the client performing the mutation., message: A message confirming the result of changing the owner's organization role."
POST/PATCH/DELETE,/mutations/updateEnterpriseProfile,Updates an enterprise's profile.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The updated enterprise."
POST/PATCH/DELETE,/mutations/updateEnterpriseRepositoryProjectsSetting,Sets whether repository projects are enabled for a enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The enterprise with the updated repository projects setting., message: A message confirming the result of updating the repository projects setting."
POST/PATCH/DELETE,/mutations/updateEnterpriseTeamDiscussionsSetting,Sets whether team discussions are enabled for an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The enterprise with the updated team discussions setting., message: A message confirming the result of updating the team discussions setting."
POST/PATCH/DELETE,/mutations/updateEnterpriseTwoFactorAuthenticationRequiredSetting,Sets whether two factor authentication is required for all users in an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The enterprise with the updated two factor authentication required setting., message: A message confirming the result of updating the two factor authentication required setting."
POST/PATCH/DELETE,/mutations/updateEnvironment,Updates an environment.,"clientMutationId: A unique identifier for the client performing the mutation., environment: The updated environment."
POST/PATCH/DELETE,/mutations/updateIpAllowListEnabledSetting,Sets whether an IP allow list is enabled on an owner.,"clientMutationId: A unique identifier for the client performing the mutation., owner: The IP allow list owner on which the setting was updated."
POST/PATCH/DELETE,/mutations/updateIpAllowListEntry,Updates an IP allow list entry.,"clientMutationId: A unique identifier for the client performing the mutation., ipAllowListEntry: The IP allow list entry that was updated."
POST/PATCH/DELETE,/mutations/updateIpAllowListForInstalledAppsEnabledSetting,Sets whether IP allow list configuration for installed GitHub Apps is enabled on an owner.,"clientMutationId: A unique identifier for the client performing the mutation., owner: The IP allow list owner on which the setting was updated."
POST/PATCH/DELETE,/mutations/updateIssue,Updates an Issue.,"actor: Identifies the actor who performed the event., clientMutationId: A unique identifier for the client performing the mutation., issue: The issue."
POST/PATCH/DELETE,/mutations/updateIssueComment,Updates an IssueComment object.,"clientMutationId: A unique identifier for the client performing the mutation., issueComment: The updated comment."
POST/PATCH/DELETE,/mutations/updateLabel,Updates an existing label.,"clientMutationId: A unique identifier for the client performing the mutation., label: The updated label."
POST/PATCH/DELETE,/mutations/updateNotificationRestrictionSetting,Update the setting to restrict notifications to only verified or approved domains available to an owner.,"clientMutationId: A unique identifier for the client performing the mutation., owner: The owner on which the setting was updated."
POST/PATCH/DELETE,/mutations/updateOrganizationAllowPrivateRepositoryForkingSetting,Sets whether private repository forks are enabled for an organization.,"clientMutationId: A unique identifier for the client performing the mutation., message: A message confirming the result of updating the allow private repository forking setting., organization: The organization with the updated allow private repository forking setting."
POST/PATCH/DELETE,/mutations/updateOrganizationWebCommitSignoffSetting,Sets whether contributors are required to sign off on web-based commits for repositories in an organization.,"clientMutationId: A unique identifier for the client performing the mutation., message: A message confirming the result of updating the web commit signoff setting., organization: The organization with the updated web commit signoff setting."
POST/PATCH/DELETE,/mutations/updatePatreonSponsorability,"Toggle the setting for your GitHub Sponsors profile that allows other GitHub
accounts to sponsor you on GitHub while paying for the sponsorship on Patreon.
Only applicable when you have a GitHub Sponsors profile and have connected
your GitHub account with Patreon.","clientMutationId: A unique identifier for the client performing the mutation., sponsorsListing: The GitHub Sponsors profile."
POST/PATCH/DELETE,/mutations/updateProject,Updates an existing project.,"clientMutationId: A unique identifier for the client performing the mutation., project: The updated project."
POST/PATCH/DELETE,/mutations/updateProjectCard,Updates an existing project card.,"clientMutationId: A unique identifier for the client performing the mutation., projectCard: The updated ProjectCard."
POST/PATCH/DELETE,/mutations/updateProjectColumn,Updates an existing project column.,"clientMutationId: A unique identifier for the client performing the mutation., projectColumn: The updated project column."
POST/PATCH/DELETE,/mutations/updateProjectV2,Updates an existing project (beta).,"clientMutationId: A unique identifier for the client performing the mutation., projectV2: The updated Project."
POST/PATCH/DELETE,/mutations/updateProjectV2Collaborators,Update the collaborators on a team or a project.,"clientMutationId: A unique identifier for the client performing the mutation., collaborators: The collaborators granted a role."
POST/PATCH/DELETE,/mutations/updateProjectV2DraftIssue,Updates a draft issue within a Project.,"clientMutationId: A unique identifier for the client performing the mutation., draftIssue: The draft issue updated in the project."
POST/PATCH/DELETE,/mutations/updateProjectV2ItemFieldValue,"This mutation updates the value of a field for an item in a Project. Currently
only single-select, text, number, date, and iteration fields are supported.","clientMutationId: A unique identifier for the client performing the mutation., projectV2Item: The updated item."
POST/PATCH/DELETE,/mutations/updateProjectV2ItemPosition,"This mutation updates the position of the item in the project, where the position represents the priority of an item.","clientMutationId: A unique identifier for the client performing the mutation., items: The items in the new order."
POST/PATCH/DELETE,/mutations/updatePullRequest,Update a pull request.,"actor: Identifies the actor who performed the event., clientMutationId: A unique identifier for the client performing the mutation., pullRequest: The updated pull request."
POST/PATCH/DELETE,/mutations/updatePullRequestBranch,Merge or Rebase HEAD from upstream branch into pull request branch.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequest: The updated pull request."
POST/PATCH/DELETE,/mutations/updatePullRequestReview,Updates the body of a pull request review.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequestReview: The updated pull request review."
POST/PATCH/DELETE,/mutations/updatePullRequestReviewComment,Updates a pull request review comment.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequestReviewComment: The updated comment."
POST/PATCH/DELETE,/mutations/updateRef,Update a Git Ref.,"clientMutationId: A unique identifier for the client performing the mutation., ref: The updated Ref."
POST/PATCH/DELETE,/mutations/updateRefs,"Creates, updates and/or deletes multiple refs in a repository.
This mutation takes a list of RefUpdates and performs these updates
on the repository. All updates are performed atomically, meaning that
if one of them is rejected, no other ref will be modified.
RefUpdate.beforeOid specifies that the given reference needs to point
to the given value before performing any updates. A value of
0000000000000000000000000000000000000000 can be used to verify that
the references should not exist.
RefUpdate.afterOid specifies the value that the given reference
will point to after performing all updates. A value of
0000000000000000000000000000000000000000 can be used to delete a
reference.
If RefUpdate.force is set to true, a non-fast-forward updates
for the given reference will be allowed.",clientMutationId: A unique identifier for the client performing the mutation.
POST/PATCH/DELETE,/mutations/updateRepository,Update information about a repository.,"clientMutationId: A unique identifier for the client performing the mutation., repository: The updated repository."
POST/PATCH/DELETE,/mutations/updateRepositoryRuleset,Update a repository ruleset.,"clientMutationId: A unique identifier for the client performing the mutation., ruleset: The newly created Ruleset."
POST/PATCH/DELETE,/mutations/updateRepositoryWebCommitSignoffSetting,Sets whether contributors are required to sign off on web-based commits for a repository.,"clientMutationId: A unique identifier for the client performing the mutation., message: A message confirming the result of updating the web commit signoff setting., repository: The updated repository."
POST/PATCH/DELETE,/mutations/updateSponsorshipPreferences,Change visibility of your sponsorship and opt in or out of email updates from the maintainer.,"clientMutationId: A unique identifier for the client performing the mutation., sponsorship: The sponsorship that was updated."
POST/PATCH/DELETE,/mutations/updateSubscription,Updates the state for subscribable subjects.,"clientMutationId: A unique identifier for the client performing the mutation., subscribable: The input subscribable entity."
POST/PATCH/DELETE,/mutations/updateTeamDiscussion,Updates a team discussion.,"clientMutationId: A unique identifier for the client performing the mutation., teamDiscussion: The updated discussion."
POST/PATCH/DELETE,/mutations/updateTeamDiscussionComment,Updates a discussion comment.,"clientMutationId: A unique identifier for the client performing the mutation., teamDiscussionComment: The updated comment."
POST/PATCH/DELETE,/mutations/updateTeamReviewAssignment,Updates team review assignment.,"clientMutationId: A unique identifier for the client performing the mutation., team: The team that was modified."
POST/PATCH/DELETE,/mutations/updateTeamsRepository,Update team repository.,"clientMutationId: A unique identifier for the client performing the mutation., repository: The repository that was updated., teams: The teams granted permission on the repository."
POST/PATCH/DELETE,/mutations/updateTopics,Replaces the repository's topics with the given topics.,"clientMutationId: A unique identifier for the client performing the mutation., invalidTopicNames: Names of the provided topics that are not valid., repository: The updated repository."
POST/PATCH/DELETE,/mutations/verifyVerifiableDomain,Verify that a verifiable domain has the expected DNS record.,
